================================================================================
                      BLUNDER LESSONS PER GAME SUMMARY
                      Database: FIDE WSTC 2025
================================================================================

GAME ID    | BLUNDERS   | PLAYERS
--------------------------------------------------------------------------------
389        | 13         | Skarlovnik, Zarja (0) vs Rysbaiuly, Aldiyar (0)
425        | 12         | Namale, Ethan (0) vs Garcia Sanchez, Fabian (0)
460        | 12         | Morard, Ambroise (0) vs Rodin, Robert (0)
462        | 10         | Valenson, Lou (0) vs Pavelkovits, Timofei (0)
515        | 10         | Zutautas, Mantas (0) vs Cebulc, Miha (0)
497        | 9          | Micallef Trigona, Luke (0) vs Harpsoe, Naya (0)
737        | 9          | Zutautas, Mantas (0) vs Egilsson, Kristofer Arni (0)
743        | 9          | Chaitezvi, Crystal (0) vs Sanchez George, Alondra (0)
145        | 8          | Camara, Kawsu (0) vs Radnaev, Leo (0)
603        | 8          | Zhanibek, Alikhan (0) vs Wysocki, Jakub (0)
20         | 7          | Wang, April (0) vs Infanger, Philip (0)
79         | 7          | Polansky, Matej (0) vs Vardanyan, Arman M. (0)
303        | 7          | Brabcova, Nikola (0) vs SHEN, YUZHENG (0)
305        | 7          | Ticha, Barbora (0) vs Luo, Yancheng (0)
312        | 7          | Strozek, Filip (0) vs Al Hinai, Abdulaziz (0)
339        | 7          | KARAKASIDIS, MICHAIL (0) vs Mattenberger, Matthias (0)
379        | 7          | Thrasyvoulou, Alexandros (0) vs Calleja Falzon, Benjamin (0)
513        | 7          | Ruiz, Arancibia Diego Alonso (0) vs Barsi, Pal (0)
520        | 7          | Egilsson, Kristofer Arni (0) vs Wang, April (0)
558        | 7          | Diners, Kirils (0) vs Alvanjyan, Aida (0)
562        | 7          | Momyn, Madina (0) vs Gan, Wei En Justin (0)
127        | 6          | Infanger, Philip (0) vs Loh, Yang Hao (0)
164        | 6          | Christiansen, Lee Yu (0) vs Alichanides, Ioannis (0)
173        | 6          | Wysocki, Michal (0) vs Hoch, Guy (0)
212        | 6          | MAMEDOV, EDGAR (0) vs Aiten, Islam (0)
223        | 6          | Zarkym, Ailin (0) vs Lieser, Joshua (0)
337        | 6          | Loh, Yang Hao (0) vs Jansone, Melanija Luize (0)
507        | 6          | SHEN, YUZHENG (0) vs Yarushin, Michael (0)
509        | 6          | Luo, Yancheng (0) vs Maurstad, Anker Moe (0)
528        | 6          | Gwena, Precious (0) vs Mayunusov, Anis (0)
575        | 6          | Morard, Ambroise (0) vs Keneshbekov, Elim (0)
584        | 6          | Daniil, Christodoulos (0) vs Ganeshram, Nirupa (0)
609        | 6          | Assylbek, Aldiyar (0) vs Jain, Naman (0)
664        | 6          | Akhmediyar, Yernur (0) vs Tomcaniova, Lucia (0)
742        | 6          | Garcia Sanchez, Fabrizio (0) vs Moyo, Ginevieve (0)
793        | 6          | Biro, Csilla (0) vs Moskaltsuk, Ilja (0)
804        | 6          | Chen, Yumu (0) vs Skarlovnik, Zarja (0)
848        | 6          | Garay, Fabio Esteban (0) vs Garcia Sanchez, Fabrizio (0)
33         | 5          | Guo, Ethan (0) vs Maurstad, Astor Moe (0)
44         | 5          | Desu, Srihaas K (0) vs Lichtenberger, Leonidas (0)
70         | 5          | Ouzounis, Konstantinos Kyr (0) vs Zutautas, Mantas (0)
190        | 5          | Cartajena Nef, Daniel Andres (0) vs Yarushin, Michael (0)
203        | 5          | Azimov, Shokhrukh (0) vs Otetileu, Amanbek (0)
216        | 5          | Radnaev, Mikael (0) vs Keerti, Shree Reddy (0)
281        | 5          | Skarlovnik, Zarja (0) vs Bauyrzhan, Nurgul (0)
289        | 5          | Namale, Ethan (0) vs Maurstad, Anker Moe (0)
300        | 5          | Vo, Charlie (0) vs Egilsson, Kristofer Arni (0)
301        | 5          | Tomasdottir, Katrin Osk (0) vs Harpsoe, Naya (0)
304        | 5          | Chen, Yumu (0) vs Polansky, Matej (0)
341        | 5          | Tarchanidis, Nikolaos Christos (0) vs Gut, Raphael (0)
401        | 5          | Bobadilla Deras, Ximena (0) vs Bar Zeev, Lavie (0)
404        | 5          | Johal, Jaiven (0) vs Wysocka, Maja (0)
415        | 5          | TINDI, LIAM (0) vs Garcia Sanchez, Fabrizio (0)
436        | 5          | Khalilova, Madinabonu (0) vs Valdats, Reinis (0)
451        | 5          | Aiten, Islam (0) vs OZKAYNAKCI, KAYRA (0)
466        | 5          | Balmond, Tom (0) vs Alichanides, Ioannis (0)
473        | 5          | Bar Zeev, Lavie (0) vs Lieser, Joshua (0)
519        | 5          | Johal, Jaiven (0) vs Olszewski, Milosz Ulfur (0)
605        | 5          | Rysbaiuly, Aldiyar (0) vs Ciszewska, Pola (0)
628        | 5          | Tomasdottir, Katrin Osk (0) vs Maurstad, Anker Moe (0)
691        | 5          | Vrublevskis, Atis (0) vs Jarrin Zhang, Dominick Yong Heng (0)
712        | 5          | Solonenko, Pavel (0) vs Gabadadze, Gabriel (0)
719        | 5          | Luo, Yancheng (0) vs Simmons-Patterson, Nathan (0)
733        | 5          | Wang, Lucas Yuebo (0) vs Calleja Falzon, Benjamin (0)
741        | 5          | Gwatidzo, Ropafadzo (0) vs Cortes Camacho, Gael I. (0)
755        | 5          | Wijerathna, Vinuka Dihain (0) vs Aiten, Islam (0)
779        | 5          | KARAKASIDIS, MICHAIL (0) vs Compel, Daniel (0)
815        | 5          | Dorfman, Michael (0) vs Santhosh, Pranav (0)
835        | 5          | Olszewski, Milosz Ulfur (0) vs Cartajena Nef, Daniel Andres (0)
846        | 5          | Calleja Falzon, Benjamin (0) vs David, Kwadwo Yeboah Darko-Mensah (0)
3          | 4          | Nurgaliyeva, Zarina (0) vs Vo, Charlie (0)
12         | 4          | Sakhokia, Luka (0) vs Lantz, Brian (0)
29         | 4          | Wilson, Hannah (0) vs Kothari, Jai (0)
41         | 4          | Radnaev, Mikael (0) vs Manchanda, Advik (0)
64         | 4          | Biro, Csilla (0) vs Bobadilla Deras, Ximena (0)
72         | 4          | Maniati, Konstantina (0) vs Gostautas, Antanas (0)
102        | 4          | Chaitezvi, Crystal (0) vs Skarlovnik, Zarja (0)
105        | 4          | Garcia Sanchez, Fabrizio (0) vs Patlar, Muhammet Tugra (0)
108        | 4          | Ravshanov, Sheralijon (0) vs MAMEDOV, EDGAR (0)
126        | 4          | Chia, Zhi Kai Aaron (0) vs Knapp, Yanik (0)
135        | 4          | Rehan, Khan Nasir (0) vs Balmond, Tom (0)
141        | 4          | Akhmediyar, Yernur (0) vs Zhanabayev, Arystan (0)
153        | 4          | Wijerathna, Vinuka Dihain (0) vs Eserler, Kerem (0)
196        | 4          | Al Shamli, Al Hasan (0) vs Santhosh, Pranav (0)
202        | 4          | Assylbek, Aldiyar (0) vs Ibragimov, Yusufjamol (0)
227        | 4          | Lapidus, Alexey M. (0) vs Sathsindu, W M Minura (0)
231        | 4          | Rajaram, Anika (0) vs Maniati, Konstantina (0)
243        | 4          | Germanovs, Georgijs (0) vs Daniil, Daniil (0)
252        | 4          | Arsenidze, Giorgi (0) vs Obidjonov, Oriyat (0)
260        | 4          | Vardanyan, Arman M. (0) vs Johal, Jaiven (0)
267        | 4          | Rodin, Robert (0) vs Reifer-Belle, Chanon (0)
354        | 4          | Lichtenberger, Leonidas (0) vs Munara, Asset (0)
375        | 4          | Jain, Naman (0) vs Keneshbekov, Elim (0)
378        | 4          | Gauci, Gabriel (0) vs Daniil, Daniil (0)
381        | 4          | Misirlis, Nicos (0) vs Micallef Trigona, Luke (0)
407        | 4          | SHEN, YUZHENG (0) vs Kitaeff Mattison, Andres Constantin (0)
429        | 4          | Ilamparthi, A.. (0) vs Nurgaliyeva, Zarina (0)
447        | 4          | Torosyan, Volodya (0) vs Guo, Ethan (0)
452        | 4          | Patlar, Muhammet Tugra (0) vs Savitskiy, Vladimir (0)
465        | 4          | Daniil, Christodoulos (0) vs Lapidus, Alexey M. (0)
468        | 4          | Radnaev, Leo (0) vs Arsenidze, Giorgi (0)
475        | 4          | Ouzounis, Konstantinos Kyr (0) vs Sugraliyev, Akhmediyar (0)
490        | 4          | Nuti, Reyansh (0) vs Orgilon, Batsaikhan (0)
496        | 4          | Christiansen, Lee Yu (0) vs Callus, Matthew (0)
503        | 4          | Reifer-Belle, Chanon (0) vs TINDI, LIAM (0)
505        | 4          | Reifer-Belle, Chaz (0) vs Namale, Ethan (0)
522        | 4          | Cerny, Zbysek (0) vs Bobadilla, Diana (0)
592        | 4          | Clarke, Noah (0) vs Vo, Charlie (0)
593        | 4          | Christiansen, Lee Yu (0) vs Reifer-Belle, Chaz (0)
598        | 4          | Hoch, Guy (0) vs Cerny, Zbysek (0)
627        | 4          | Vervaeke, Noah Rinholm (0) vs Egilsson, Kristofer Arni (0)
629        | 4          | Gwatidzo, Ropafadzo (0) vs Kim, Vivica (0)
630        | 4          | TINDI, LIAM (0) vs Moyo, Ginevieve (0)
671        | 4          | Keneshbekov, Elim (0) vs Shidlagatta, Anirudh (0)
675        | 4          | Vo, Charlie (0) vs Radnaev, Leo (0)
713        | 4          | Kachakhidze, Nikoloz (0) vs Goreslavskiy, Leon (0)
716        | 4          | Wilson, Hannah (0) vs Xue, TIianhao (0)
722        | 4          | SKYLAR, AMOR (0) vs Wysocka, Maja (0)
724        | 4          | Nuti, Reyansh (0) vs Cerny, Zbysek (0)
744        | 4          | Garcia Sanchez, Fabian (0) vs Gwena, Precious (0)
754        | 4          | Zarkym, Ailin (0) vs Rajaram, Anika (0)
760        | 4          | Akhilbay, Imangali (0) vs OZKAYNAKCI, KAYRA (0)
764        | 4          | Wu, Taiwei (0) vs Radnaev, Nomin (0)
787        | 4          | Zhanabayev, Arystan (0) vs Keith, Matthew (0)
792        | 4          | Istratova, Nika (0) vs Biro, Beata (0)
796        | 4          | Arsenidze, Giorgi (0) vs Valenson, Lou (0)
797        | 4          | Morard, Basile (0) vs Sakhokia, Luka (0)
798        | 4          | Zarylykov, Erhan (0) vs Daniil, Daniil (0)
800        | 4          | Berdibaeva, Edisa (0) vs Alichanides, Ioannis (0)
807        | 4          | Kjeldsen, Johannes Juel (0) vs Otetileu, Amanbek (0)
814        | 4          | Manchanda, Advik (0) vs Hoch, Guy (0)
819        | 4          | Kitaeff Mattison, Andres Constantin (0) vs Wysocki, Jakub (0)
831        | 4          | Goreslavskiy, Leon (0) vs Shamsov, Ahmad (0)
836        | 4          | Campe Sanchez, Diego (0) vs Egilsson, Kristofer Arni (0)
837        | 4          | Tomasdottir, Katrin Osk (0) vs Campos Frias, Mateo Alfredo (0)
838        | 4          | Al Kalbani, Khalid Waleed (0) vs Gwatidzo, Ropafadzo (0)
843        | 4          | TINDI, LIAM (0) vs Jain, Naman (0)
8          | 3          | Pranav, K P (0) vs Sender, Battsengel (0)
21         | 3          | Calderon Bolanos, Matias Emanuel (0) vs Kuandykuly, Danis (0)
23         | 3          | Kitaeff Mattison, Andres Constantin (0) vs Aitmukhanov, Arsen (0)
24         | 3          | Zarkym, Ailin (0) vs Jarrin Zhang, Dominick Yong Heng (0)
28         | 3          | Alichanides, Ioannis (0) vs Malaschitz, Teodor (0)
31         | 3          | Clarke, Noah (0) vs Wang, Luoke (0)
32         | 3          | Balmond, Tom (0) vs Reifer-Belle, Chaz (0)
47         | 3          | Callus, Matthew (0) vs Ganeshram, Nirupa (0)
48         | 3          | Gang, Kevin Wan Ze (0) vs Micallef Trigona, Luke (0)
51         | 3          | Sethuramalingam, Karthik (0) vs Sapartileuov, Nurassyl (0)
54         | 3          | ATULUGAMAGE, SANIRU LOHAN (0) vs Goreslavskiy, Leon (0)
61         | 3          | Bobadilla, Diana (0) vs Nandin-Erdene, Davaademberel (0)
66         | 3          | Wysocki, Jakub (0) vs Morard, Ambroise (0)
77         | 3          | Cerny, Zbysek (0) vs Torosyan, Volodya (0)
82         | 3          | Cartajena Nef, Daniel Andres (0) vs Ijtaba, Amer (0)
92         | 3          | Al Hinai, Abdulaziz (0) vs Tuyenbayeva, Aisara (0)
94         | 3          | JURIC, ANDRIJA (0) vs TINDI, LIAM (0)
95         | 3          | SKYLAR, AMOR (0) vs Camara, Kawsu (0)
96         | 3          | Barsi, Pal (0) vs Namale, Ethan (0)
98         | 3          | Shamsov, Ahmad (0) vs Keneshbekov, Elim (0)
111        | 3          | Daulet, Alikhan (0) vs Begmuratova, Sarvinoz (0)
112        | 3          | Keerti, Shree Reddy (0) vs Nandin-Erdene, Davaademberel (0)
114        | 3          | Daakshin, Arun (0) vs Biro, Beata (0)
121        | 3          | Ouzounis, Konstantinos Kyr (0) vs Valdats, Reinis (0)
132        | 3          | Shidlagatta, Anirudh (0) vs Ijlal, Amer (0)
139        | 3          | Aiten, Islam (0) vs Alemanova, Yasmina (0)
148        | 3          | Ganeshram, Nirupa (0) vs Berdibaeva, Edisa (0)
168        | 3          | Maral, Chinguun (0) vs Luo, Yancheng (0)
179        | 3          | Wang, April (0) vs Anuzyte, Soja (0)
182        | 3          | Gomes Barranco, Manuel Ignacio (0) vs Olszewski, Milosz Ulfur (0)
191        | 3          | Vervaeke, Noah Rinholm (0) vs Campe Sanchez, Diego (0)
208        | 3          | Chaitezvi, Crystal (0) vs Belykh, Sergey A (0)
209        | 3          | Kraeva, Ekaterina (0) vs Gwena, Precious (0)
213        | 3          | Savitskiy, Vladimir (0) vs Akhilbay, Imangali (0)
220        | 3          | Archer, Ollie (0) vs Kuandykuly, Danis (0)
235        | 3          | Gan, Wei En Justin (0) vs Lantz, Brian (0)
249        | 3          | Knapp, Yanik (0) vs Sodbaatar, Batsaikhan (0)
250        | 3          | Sender, Battsengel (0) vs Infanger, Philip (0)
254        | 3          | Nandin-Erdene, Davaademberel (0) vs Hoch, Guy (0)
255        | 3          | Regev, Berry (0) vs Gajdacs, Jonathan (0)
257        | 3          | Bar Zeev, Lavie (0) vs Biro, Csilla (0)
261        | 3          | Verma, Audvik (0) vs Alvanjyan, Aida (0)
