==================================================
             CHESS OPENINGS SUMMARY REPORT
==================================================
Database: FIDE WSTC 2025
Total Games Analyzed: 852

--- TOP 10 MOST FREQUENT OPENINGS ---
 1. [] Unknown - 29 games (3.4%)
 2. [D02] 1 d4 d5 2 Nf3 sidelines, including 2...Nf6 3 g3 and 2...Nf6 3 Bf4 - 26 games (3.1%)
 3. [B22] Sicilian: 2 c3 - 22 games (2.6%)
 4. [C54] Giuoco Piano: 4 c3 Nf6, main lines with 5 d4 and 5 d3 - 21 games (2.5%)
 5. [B13] Caro-Kann: Exchange Variation and Panov-Botvinnik Attack - 19 games (2.2%)
 6. [B12] Caro-Kann: Advance Variation - 18 games (2.1%)
 7. [C01] French: Exchange Variation - 15 games (1.8%)
 8. [C02] French: Advance Variation - 14 games (1.6%)
 9. [B50] Sicilian: 2...d6, Miscellaneous - 14 games (1.6%)
10. [C50] Hungarian Defence and Giuoco Pianissimo - 13 games (1.5%)


========================================================================
                        FREQUENCY OF OPENINGS
========================================================================
ECO   | Opening Name                                     | Count  | %    
--------------------------------------------------------------------------
      | Unknown                                          | 29     |  3.4%
D02   | 1 d4 d5 2 Nf3 sidelines, including 2...Nf6...    | 26     |  3.1%
B22   | Sicilian: 2 c3                                   | 22     |  2.6%
C54   | Giuoco Piano: 4 c3 Nf6, main lines with 5 ...    | 21     |  2.5%
B13   | Caro-Kann: Exchange Variation and Panov-Bo...    | 19     |  2.2%
B12   | Caro-Kann: Advance Variation                     | 18     |  2.1%
C01   | French: Exchange Variation                       | 15     |  1.8%
C02   | French: Advance Variation                        | 14     |  1.6%
B50   | Sicilian: 2...d6, Miscellaneous                  | 14     |  1.6%
C50   | Hungarian Defence and Giuoco Pianissimo          | 13     |  1.5%
B40   | Sicilian: 2...e6, Unusual lines                  | 12     |  1.4%
C45   | Scotch Game                                      | 11     |  1.3%
B07   | Pirc Defence: Miscellaneous Systems              | 11     |  1.3%
C47   | Scotch Four Knights and Four Knights with ...    | 10     |  1.2%
D00   | 1 d4 d5: Unusual lines                           | 10     |  1.2%
B01   | Scandinavian Defence                             | 10     |  1.2%
D35   | Queen's Gambit Declined: Exchange Variation      | 10     |  1.2%
B23   | Closed Sicilian: Lines without g3                | 10     |  1.2%
B11   | Caro-Kann: Two Knights Variation                 | 10     |  1.2%
C42   | Petroff Defence: 3 Nxe5 and unusual White ...    | 9      |  1.1%
B31   | Sicilian: 2...Nc6 3 Bb5 g6                       | 9      |  1.1%
C56   | Two Knights: 4 d4 exd4 5 0-0 Nxe4                | 9      |  1.1%
B21   | Sicilian: 2 f4 and Morra Gambit                  | 8      |  0.9%
B33   | Sicilian: Pelikan and Sveshnikov Variations      | 8      |  0.9%
B08   | Pirc Defence: Classical System                   | 8      |  0.9%
C55   | Two Knights: 4 d3, 4 d4 exd4 5 e5 and Max ...    | 8      |  0.9%
B30   | Sicilian: 2...Nc6 3 Bb5, lines without ...g6     | 8      |  0.9%
B52   | Sicilian: Moscow Variation with 3...Bd7          | 7      |  0.8%
B90   | Sicilian Najdorf: Unusual White 6th moves,...    | 7      |  0.8%
B15   | Caro-Kann: 3 Nc3: 3...g6 and 3...dxe4 4 Nx...    | 7      |  0.8%
B51   | Sicilian: Moscow Variation (3 Bb5+) withou...    | 7      |  0.8%
D85   | Exchange Grünfeld: Unusual White 7th moves...    | 7      |  0.8%
D38   | Queen's Gambit Declined: Ragozin Defence (...    | 7      |  0.8%
A07   | Réti Opening: New York and Capablanca Systems    | 6      |  0.7%
A45   | Trompowsky Attack                                | 6      |  0.7%
E05   | Open Catalan: 5 Nf3 Be7                          | 6      |  0.7%
C44   | Ponziani Opening and Scotch Gambit               | 6      |  0.7%
D13   | Slav Defence: Exchange variation without ....    | 6      |  0.7%
D46   | Semi-Slav: 5 e3 Nbd7 6 Bd3, Black avoids t...    | 6      |  0.7%
B20   | Sicilian: Unusual White 2nd moves                | 6      |  0.7%
B70   | Sicilian Dragon: 6 g3 and 6 Be2 (without a...    | 5      |  0.6%
A48   | 1 d4 Nf6 2 Nf3 g6: Torre, London and Colle...    | 5      |  0.6%
A22   | English Opening: 1...e5 2 Nc3 Nf6                | 5      |  0.6%
C00   | French: Unusual White 2nd moves                  | 5      |  0.6%
B76   | Sicilian Dragon: Yugoslav Attack, 9 g4 and...    | 5      |  0.6%
C10   | French with 3 Nc3: Unusual Black 3rd moves...    | 5      |  0.6%
B72   | Sicilian Dragon: 6 Be3, lines with h3+Bc4 ...    | 5      |  0.6%
B45   | Sicilian Four Knights                            | 5      |  0.6%
B32   | Sicilian: Löwenthal and Kalashnikov Variat...    | 5      |  0.6%
E73   | King's Indian: Averbakh Variation without ...    | 5      |  0.6%
D10   | Slav Defence: 3 cxd5 (without early Nf3) a...    | 5      |  0.6%
D20   | Queen's Gambit Accepted: 3 e3 and 3 e4           | 5      |  0.6%
D11   | Slav Defence: 3 Nf3 sidelines and 3...Nf6 ...    | 5      |  0.6%
C26   | Vienna Game: 2...Nf6, sidelines                  | 5      |  0.6%
C77   | Ruy Lopez: 3...a6 4 Ba4 Nf6, unusual lines       | 5      |  0.6%
C30   | King's Gambit Declined                           | 5      |  0.6%
D78   | Fianchetto Grünfeld: 6 0-0 c6                    | 5      |  0.6%
D04   | Colle System                                     | 4      |  0.5%
D37   | Queen's Gambit Declined: 5 Bf4                   | 4      |  0.5%
D77   | Fianchetto Grünfeld: 6 0-0: Replies other ...    | 4      |  0.5%
E61   | King's Indian: Early deviations for White,...    | 4      |  0.5%
E13   | Queen's Indian/Nimzo-Indian hybrid: 4 Nc3 ...    | 4      |  0.5%
C41   | Philidor Defence                                 | 4      |  0.5%
C48   | Four Knights: 4 Bb5, replies other than 4....    | 4      |  0.5%
C15   | French: 3 Nc3 Bb4: Unusual White 4th moves       | 4      |  0.5%
C07   | French Tarrasch: 3...c5, 4 Ngf3 and 4 exd5...    | 4      |  0.5%
B38   | Sicilian: Maroczy Bind with 5...Bg7 and 7....    | 4      |  0.5%
A11   | English Opening: 1...c6                          | 4      |  0.5%
A00   | Irregular Openings                               | 4      |  0.5%
B27   | Sicilian: 2 Nf3, unusual Black 2nd moves         | 4      |  0.5%
C11   | French: Classical System: 4 e5 and 4 Bg5 dxe4    | 4      |  0.5%
A80   | Dutch Defence: Unusual White second moves        | 4      |  0.5%
A46   | 1 d4 Nf6 2 Nf3 e6: Torre, London and Colle...    | 4      |  0.5%
E12   | Queen's Indian: Unusual White 4th moves, 4...    | 4      |  0.5%
