==================================================
             CHESS OPENINGS SUMMARY REPORT
==================================================
Database: RCC Ladder - 03-14-2026
Total Games Analyzed: 454

--- TOP 10 MOST FREQUENT OPENINGS ---
 1. [C50] Hungarian Defence and Giuoco Pianissimo - 34 games (7.5%)
 2. [D02] 1 d4 d5 2 Nf3 sidelines, including 2...Nf6 3 g3 and 2...Nf6 3 Bf4 - 24 games (5.3%)
 3. [D00] 1 d4 d5: Unusual lines - 23 games (5.1%)
 4. [C55] Two Knights: 4 d3, 4 d4 exd4 5 e5 and Max Lange Attack - 15 games (3.3%)
 5. [B01] Scandinavian Defence - 11 games (2.4%)
 6. [A40] Unusual replies to 1 d4 - 11 games (2.4%)
 7. [B12] Caro-Kann: Advance Variation - 10 games (2.2%)
 8. [B07] Pirc Defence: Miscellaneous Systems - 10 games (2.2%)
 9. [C02] French: Advance Variation - 7 games (1.5%)
10. [C30] King's Gambit Declined - 6 games (1.3%)


========================================================================
                        FREQUENCY OF OPENINGS
========================================================================
ECO   | Opening Name                                     | Count  | %    
--------------------------------------------------------------------------
C50   | Hungarian Defence and Giuoco Pianissimo          | 34     |  7.5%
D02   | 1 d4 d5 2 Nf3 sidelines, including 2...Nf6...    | 24     |  5.3%
D00   | 1 d4 d5: Unusual lines                           | 23     |  5.1%
C55   | Two Knights: 4 d3, 4 d4 exd4 5 e5 and Max ...    | 15     |  3.3%
B01   | Scandinavian Defence                             | 11     |  2.4%
A40   | Unusual replies to 1 d4                          | 11     |  2.4%
B12   | Caro-Kann: Advance Variation                     | 10     |  2.2%
B07   | Pirc Defence: Miscellaneous Systems              | 10     |  2.2%
C02   | French: Advance Variation                        | 7      |  1.5%
C30   | King's Gambit Declined                           | 6      |  1.3%
C42   | Petroff Defence: 3 Nxe5 and unusual White ...    | 5      |  1.1%
B50   | Sicilian: 2...d6, Miscellaneous                  | 5      |  1.1%
D07   | Queen's Gambit: Chigorin Defence                 | 5      |  1.1%
D12   | Slav Defence: 3 Nf3 Nf6 4 e3 Bf5                 | 5      |  1.1%
C53   | Giuoco Piano sidelines                           | 5      |  1.1%
C00   | French: Unusual White 2nd moves                  | 5      |  1.1%
B20   | Sicilian: Unusual White 2nd moves                | 5      |  1.1%
B08   | Pirc Defence: Classical System                   | 5      |  1.1%
A45   | Trompowsky Attack                                | 4      |  0.9%
